year,fire_id,area_ha,date,date_l,date_u,datesrc,name,obs,collec
2014,2014_1006684782,12.1678688778588,2013-10-14,2013-10-06,2013-10-23,landsat,2014_1006684782,NA,3
2014,2014_2110869018,17.4302643621197,2013-10-15,2013-10-07,2013-10-23,landsat,2014_2110869018,NA,2
2014,2014_45,169.71981476126,2013-10-26,2013-10-06,2013-11-15,landsat,Sierra Chata,NA,1
2014,2014_126,460.242355869223,2013-10-26,2013-10-26,2013-10-26,modis,2014_126,NA,2
2014,2014_603743496,116.636527781276,2013-10-26,2013-10-06,2013-11-15,landsat,2014_603743496,NA,2
2014,2014_106,110.1360796284,2013-11-04,2013-10-23,2013-11-15,landsat,2014_106,NA,1
2014,2014_107,44.5585329168792,2013-11-04,2013-10-23,2013-11-15,landsat,2014_107,NA,1
2014,2014_111,26.0450095524696,2013-11-04,2013-10-23,2013-11-15,landsat,2014_111,NA,1
2014,2014_2131156326,74.3623906256863,2013-11-04,2013-10-23,2013-11-16,landsat,2014_2131156326,NA,2
2014,2014_105,30.3768623875886,2013-12-02,2013-11-24,2013-12-09,landsat,2014_105,NA,1
2014,2014_4,327.258644433997,2013-12-30,2013-12-30,2013-12-30,modis,Rucachoroy,2014_3_4 same fire event,1
2014,2014_3,853.814893664803,2014-01-16,2014-01-14,2014-01-17,modis,Rucachoroy,2014_3_4 same fire event,1
2014,2014_1,1825.0817876653,2014-01-17,2014-01-17,2014-01-18,modis,Ñorquinco,NA,1
2014,2014_120,77.8197518838327,2014-02-16,2014-02-12,2014-02-19,landsat,2014_120,NA,1
2014,2014_115,243.630045699773,2014-03-04,2014-03-04,2014-03-04,modis,2014_115,NA,1
2014,2014_1010415027,38.2694425564455,2014-03-07,2014-02-19,2014-03-23,landsat,2014_1010415027,NA,2
2014,2014_1747194609,13.4855660374752,2014-03-16,2014-03-08,2014-03-23,landsat,2014_1747194609,NA,2
2015,2015_10,56.8920163300127,2014-11-18,2014-11-10,2014-11-26,landsat,2015_10,NA,1
2015,2015_73,32.4997321950733,2014-11-18,2014-10-25,2014-12-12,landsat,2015_73,NA,1
2015,2015_1415013825,28.1949533778248,2014-12-04,2014-11-26,2014-12-12,landsat,2015_1415013825,NA,2
2015,2015_36,18.1704487812642,2014-12-08,2014-12-04,2014-12-12,landsat,2015_36,NA,1
2015,2015_70,29.9382755392503,2014-12-17,2014-12-13,2014-12-20,landsat,2015_70,NA,1
2015,2015_16,867.430556594467,2015-01-04,2015-01-04,2015-01-05,modis,2015_16,NA,1
2015,2015_-1891182279,15.4638225531593,2015-01-05,2015-01-05,2015-01-05,modis,2015_-1891182279,NA,3
2015,2015_11,368.079054217192,2015-01-22,2015-01-20,2015-01-24,modis,2015_11,NA,1
2015,2015_41,39.2264722563837,2015-01-31,2015-01-31,2015-01-31,modis,Currumahuida,2015_40-41-42 could be the same event,1
2015,2015_46,389.231107403185,2015-01-31,2015-01-31,2015-01-31,modis,Turbio 2015,NA,1
2015,2015_1655872866,87.2305752873788,2015-02-14,2015-02-14,2015-02-14,modis,2015_1655872866,NA,2
2015,2015_50,27096.4174842541,2015-02-27,2015-02-20,2015-03-06,modis,Cholila,NA,1
2015,2015_40,2238.37338612319,2015-02-28,2015-02-02,2015-03-25,modis,Currumahuida,2015_40-41-42 could be the same event,1
2015,2015_82,50.5473616608298,2015-03-02,2015-02-22,2015-03-10,landsat,2015_82,NA,1
2015,2015_-1152954329,1457.93169331631,2015-03-02,2015-02-22,2015-03-10,landsat,2015_-1152954329,NA,2
2015,2015_1645413108,63.683520733313,2015-03-02,2015-02-22,2015-03-10,landsat,2015_1645413108,NA,2
2015,2015_47,8068.44911518393,2015-03-08,2015-02-22,2015-03-22,modis,Turbio 2015 (otro),NA,1
2015,2015_-489265330,21.3328079084394,2015-03-19,2015-03-11,2015-03-26,landsat,2015_-489265330,NA,2
2015,2015_53,1339.79564257226,2015-03-27,2015-03-24,2015-03-30,modis,Alerces 2015,NA,1
2015,2015_42,3341.92391859535,2015-03-29,2015-03-29,2015-03-30,modis,Currumahuida,2015_40-41-42 could be the same event,1
2016,2016_-665619614,448.489950154696,2015-10-09,2015-09-19,2015-10-28,landsat,2016_-665619614,NA,2
2016,2016_84,12.6275800356223,2015-10-17,2015-10-05,2015-10-29,landsat,2016_84,NA,1
2016,2016_-325507625,12.5994094042694,2015-10-21,2015-10-05,2015-11-06,landsat,2016_-325507625,NA,2
2016,2016_79,267.130622004,2015-11-03,2015-11-02,2015-11-04,modis,2016_79,NA,1
2016,2016_75,63.1212077566837,2015-11-13,2015-11-13,2015-11-13,modis,2016_75,NA,1
2016,2016_81,12.7576947174379,2015-11-14,2015-11-06,2015-11-21,landsat,2016_81,NA,1
2016,2016_87,10.1126184425472,2015-11-14,2015-11-06,2015-11-21,landsat,2016_87,NA,1
2016,2016_92,67.6386816784374,2015-11-14,2015-11-06,2015-11-21,landsat,2016_92,NA,1
2016,2016_80N,15.6579526623543,2015-12-20,2015-12-08,2016-01-01,landsat,2016_80N,NA,1
2016,2016_13,28.3170935820415,2016-01-08,2016-01-08,2016-01-09,landsat,2016_13,NA,1
