class,aspect,elevation,slope
burned,96.56972,1206,29.507528
burned,0,967,2.7802885
burned,165.62831,961,28.13533
burned,134.9232,602,35.398937
burned,52.07078,1523,28.944092
burned,134.31094,1063,43.534397
burned,281.38818,1214,36.421345
burned,312.3468,902,21.031658
burned,264.61575,889,9.787963
burned,169.04555,797,12.998191
burned,98.816055,1258,11.927918
burned,315.17554,922,24.534946
burned,288.83032,1483,36.954044
burned,41.13953,579,20.072695
burned,234.39212,598,1.592574
burned,273.29565,1258,40.189545
burned,290.0352,568,2.7052221
burned,78.18934,1001,17.55506
burned,63.52789,1218,46.482334
burned,121.66294,649,8.76554
burned,173.50818,733,11.062182
burned,90,597,5.059554
burned,233.60417,626,3.123135
burned,303.9548,1116,28.840021
burned,58.975956,957,8.924925
burned,260.8435,480,26.959166
burned,33.835106,1013,35.794033
burned,41.85997,794,3.730695
burned,27.213362,991,31.752918
burned,161.3306,535,3.9099388
burned,168.12779,637,12.136125
burned,61.046482,1074,21.863955
burned,208.4604,728,5.2601223
burned,249.673,648,18.0663
burned,277.013,1140,14.851183
burned,171.36763,618,8.382735
burned,118.75903,831,16.846823
burned,23.944044,838,9.057216
burned,108.525536,1085,24.633242
burned,243.64824,916,4.171622
burned,231.40218,1084,37.89881
burned,308.7461,573,15.881505
burned,153.17372,739,30.134333
burned,209.10939,937,5.2927732
burned,40.86516,1177,3.6742508
burned,289.26456,1088,21.43068
burned,198.30397,750,34.9562
burned,270,553,2.5126078
burned,211.93979,1283,43.645054
burned,69.67374,341,2.6681416
burned,243.80203,996,4.194284
burned,131.08205,1329,12.500475
burned,254.30508,750,19.750345
burned,180,818,0.92740995
burned,162.72166,945,33.471046
burned,290.2534,821,2.6773243
burned,221.37468,962,26.388685
burned,74.488884,646,19.960594
burned,21.769873,1123,16.505913
burned,330.60657,332,12.568764
burned,270,800,1.255734
burned,283.18826,1089,19.532597
burned,110.61816,1088,15.419899
burned,19.430597,798,38.29496
burned,236.27405,973,50.085617
burned,210.94653,723,27.00406
burned,90,1055,21.536114
burned,33.54961,835,4.442635
burned,136.98563,667,16.0563
burned,204.17522,239,3.0470867
burned,331.54236,737,5.259985
burned,43.48327,797,12.576863
burned,100.36868,723,5.1394286
burned,28.251974,512,10.413025
burned,345.57315,1164,19.341675
burned,10.357351,601,13.86564
burned,335.4404,489,3.0563424
burned,104.91806,633,14.118268
burned,241.64738,1051,32.929188
burned,290.3865,361,2.6606035
burned,110.39164,776,2.6599622
burned,301.81467,1107,13.801638
burned,65.81374,728,13.336636
burned,315.418,899,18.825085
burned,76.60188,808,3.9962149
burned,103.89703,996,11.430937
burned,8.572779,937,8.381434
burned,48.658886,709,36.323532
burned,207.5752,1018,15.319473
burned,51.855854,968,20.149391
burned,33.98377,558,28.662031
burned,341.8291,686,16.152924
burned,258.48914,1364,32.98188
burned,0,804,1.8543341
burned,266.62384,1181,28.799875
burned,227.74031,1090,21.063747
burned,190.46896,646,19.908344
burned,55.535446,788,32.18311
burned,289.92438,370,2.719631
burned,69.90297,1329,37.007965
burned,328.1991,892,27.215384
burned,169.85089,1100,13.856878
burned,235.7359,687,19.035833
burned,310.62906,898,8.483666
burned,36.577343,985,10.282763
burned,347.2802,1246,26.466469
burned,12.673316,577,5.685179
