system:index,Burned,Fire_ID,LANDSAT_ID,Year,dnbr,nbr_delta,nbr_min,ndvi_max,.geo
0_000000000000000001ae_116,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.0052897334,-0.037779033,0.62211984,0.8142657,
0_000000000000000001ae_117,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.0830968,0.21126923,0.28078818,0.7845985,
0_000000000000000001ae_118,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.08831477,0.19192356,0.42283052,0.7972806,
0_000000000000000001ae_119,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.09097469,0.262328,0.36370316,0.7634319,
0_000000000000000001ae_120,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.037385345,0.03821069,0.53405726,0.769131,
0_000000000000000001ae_121,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.073948145,0.16361803,0.41395622,0.7757985,
0_000000000000000001ae_122,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.041244328,0.121803164,0.48566055,0.7624683,
0_000000000000000001ae_123,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.021756738,0.012108535,0.40171778,0.6980443,
0_000000000000000001ae_124,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.12669584,0.109179795,0.2857143,0.6388191,
0_000000000000000001ae_125,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.048612714,0.059416592,0.5608719,0.8174941,
0_000000000000000001ae_126,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.106013715,0.14807889,0.40104946,0.66312206,
0_000000000000000001ae_127,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.15174481,0.10578212,0.29681528,0.6515337,
0_000000000000000001ae_128,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.0060634017,-0.0063354373,0.6138315,0.8462598,
0_000000000000000001ae_129,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.119628266,0.08145404,0.2722205,0.54058576,
0_000000000000000001ae_130,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.033923984,0.02581656,0.5820643,0.8040051,
0_000000000000000001ae_131,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.050198138,0.32877427,0.24353343,0.80246913,
0_000000000000000001ae_132,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.06551701,0.2782816,0.36562672,0.8290331,
0_000000000000000001ae_133,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.13302833,0.33054772,0.34907052,0.83612293,
0_000000000000000001ae_134,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.062471032,0.05646199,0.6109661,0.80669546,
0_000000000000000001ae_135,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.011204302,0.065534174,0.56831396,0.801348,
0_000000000000000001ae_136,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.035509586,0.022333384,0.5588799,0.75021535,
0_000000000000000001ae_137,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.080712795,0.1625432,0.44923726,0.7868804,
0_000000000000000001ae_138,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.14524764,0.15591025,0.27913147,0.6643627,
0_000000000000000001ae_139,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.08282703,0.2564657,0.443351,0.8517224,
0_000000000000000001ae_140,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.05153516,0.1172965,0.19339164,0.568082,
0_000000000000000001ae_141,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.056349486,0.15562457,0.265668,0.63073915,
0_000000000000000001ae_142,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.028184205,0.13867928,0.23929961,0.6381982,
0_000000000000000001ae_143,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.07009399,0.06309834,0.16666667,0.48981398,
0_000000000000000001ae_144,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.05709824,0.10516748,0.18960863,0.53545964,
0_000000000000000001ae_145,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.045670897,0.12854406,0.260561,0.63352686,
0_000000000000000001ae_146,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.06165445,0.11927123,0.21524025,0.5614618,
0_000000000000000001ae_147,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.06022513,0.025785387,0.2104269,0.5462572,
0_000000000000000001ae_148,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.06846295,0.061910912,0.13980582,0.5131846,
0_000000000000000001ae_149,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.054512277,0.019390494,0.13449164,0.4869771,
0_000000000000000001ae_150,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.08508891,0.10880262,0.22894573,0.54097146,
0_000000000000000001ae_151,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.08445959,0.104554966,0.14145142,0.49671772,
0_000000000000000001ae_152,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,-0.093026906,-0.06277117,0.18996416,0.65268457,
0_000000000000000001ae_153,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,-0.06780732,-0.0890152,0.32746902,0.66177166,
0_000000000000000001ae_154,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.078434244,0.103851736,0.17980212,0.53745925,
0_000000000000000001ae_155,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.06483519,0.11516249,0.18548685,0.51371664,
0_000000000000000001ae_156,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.026257992,0.16169667,0.42435998,0.7541846,
0_000000000000000001ae_157,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.10592684,0.1785455,0.12417119,0.5298139,
0_000000000000000001ae_158,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.037385434,0.12893084,0.24277854,0.60596544,
0_000000000000000001ae_159,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,-0.019331276,0.07517928,0.30785415,0.7632118,
0_000000000000000001ae_160,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.06626883,0.126338,0.17041382,0.5298139,
0_000000000000000001ae_161,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.048783362,0.08211273,0.18796992,0.51371664,
0_000000000000000001ae_162,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.1071327,0.10113037,0.25196582,0.6026936,
0_000000000000000001ae_163,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.03908065,0.07311779,0.25196582,0.56884784,
0_000000000000000001ae_164,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.04376501,0.19564277,0.32395267,0.7205535,
0_000000000000000001ae_165,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.07909386,0.11011553,0.18240541,0.5429882,
0_000000000000000001ae_166,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.094769955,0.104799986,0.22715735,0.5892639,
0_000000000000000001ae_167,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.053667724,0.1256418,0.10880503,0.5074627,
